Sample,State,Species,Age,Sex,Collection Date,Swab collected,IAV Matrix PCR,Blood Collected,bELISA s/n ratio,AST VN H5,BWTE VN H5,ELLA N1
LC-EESC-811,Maryland,LESC,ASY,F,3/1/2023,Y,N/D,Y,0.150859678,40,<20,640
LC-EESC-812,Maryland,LESC,ASY,F,3/1/2023,Y,N/D,Y,0.408208541,<20,20,320
LC-EESC-813,Maryland,LESC,SY,M,3/1/2023,Y,N/D,Y,0.177481974,80,1280,320
LC-EESC-814,Maryland,LESC,ASY,M,3/1/2023,Y,N/D,Y,0.377149196,320,80,320
LC-EESC-817,Maryland,LESC,SY,M,3/1/2023,Y,N/D,Y,0.166389351,40,160,80
LC-EESC-766,Maryland,LESC,SY,M,3/3/2023,Y,N/D,Y,0.422628952,20,160,160
LC-EESC-767,Maryland,LESC,ASY,M,3/3/2023,Y,N/D,Y,0.143094842,20,20,640
LC-EESC-768,Maryland,LESC,ASY,M,3/3/2023,Y,N/D,Y,0.234054354,160,320,640
LC-EESC-769,Maryland,LESC,SY,M,3/3/2023,Y,N/D,Y,0.574597892,20,<20,80
LC-EESC-815,Maryland,LESC,ASY,F,3/3/2023,Y,N/D,Y,0.228508042,20,1280,320
LC-EESC-816,Maryland,LESC,ASY,M,3/3/2023,Y,N/D,Y,0.124237382,<20,<20,160
LC-EESC-818,Maryland,LESC,SY,M,3/3/2023,Y,N/D,Y,0.149750416,1280,640,>2560
LC-EESC-819,Maryland,LESC,ASY,M,3/3/2023,Y,N/D,Y,0.386023295,640,80,320
LC-EESC-820,Maryland,LESC,SY,M,3/3/2023,Y,N/D,Y,0.503605103,<20,<20,80
