zip_code,vulnerability_index,vulnerability_theme1_socioeconomic,vulnerability_theme2_household,vulnerability_theme3_minority,vulnerability_theme4_housing,healthcare_access_score,telehealth_access_score
10923,0.008187999999999999,0.004748,0.009299,0.009183,0.007698,0.988,0.899
10924,0.007614999999999999,0.0053100000000000005,0.006541,0.007121,0.008409999999999999,0.951,0.948
10925,0.00555,0.006153,0.006979999999999999,0.006772,0.0030259999999999996,0.945,0.862
10926,0.009008,0.007414,0.008764,0.008766000000000001,0.009026,0.913,0.878
10927,0.009558,0.009341,0.009333000000000001,0.009521,0.008821,0.96,0.901
10928,0.008268,0.006095000000000001,0.009493,0.008901,0.006541,0.968,0.9299999999999999
10930,0.004501,0.005482,0.003425,0.008456,0.002986,0.958,0.948
10931,0.008675,0.009328999999999999,0.0089,0.009048,0.004513,0.946,0.837
10932,0.000344,0.000728,0.0,0.008192,0.001476,1.0,1.0
10933,0.001135,0.002437,0.005476,0.002856,0.0,1.0,1.0
10940,0.009341,0.008836,0.009271,0.009014,0.008627000000000001,0.937,0.85
10941,0.007529,0.005218,0.0068720000000000005,0.008721,0.007681,0.944,0.919
10950,0.008784,0.008601,0.006416,0.006169,0.00886,0.975,0.635
10952,0.008756,0.009226,0.006063,0.005031,0.008336,0.972,0.642
10953,-9.99,-9.99,-9.99,-9.99,-9.99,1.0,10.99
10954,0.007643,0.005052,0.00755,0.008563,0.0076300000000000005,0.956,0.951
10956,0.004392,0.002873,0.0065980000000000006,0.008203,0.0035039999999999997,0.973,0.964
10958,0.006583,0.0056359999999999995,0.006706999999999999,0.007837,0.005214,0.978,0.9339999999999999
10960,0.008095999999999999,0.006439,0.007037,0.008468,0.008,0.967,0.919
10962,0.0053100000000000005,0.005023,0.0073560000000000006,0.008372000000000001,0.0028260000000000004,0.977,0.983
10963,0.008389,0.007036,0.006928999999999999,0.008079,0.008519,0.895,0.933
10964,0.005562,0.003933,0.006860000000000001,0.006794,0.004997,0.978,0.991
10965,0.006468000000000001,0.004593,0.007019999999999999,0.006811,0.0062450000000000006,0.963,0.896
10968,0.003435,0.001548,0.004382,0.007037,0.004644,0.987,1.0
10969,0.000229,0.000241,0.000672,0.0057410000000000004,0.0,0.99,0.923
10970,0.008475,0.006875,0.007664,0.008884999999999999,0.008274,0.97,0.947
10973,0.006875,0.006531,0.007105,0.007414,0.005066,0.94,0.876
10974,0.005149,0.004019,0.003903,0.007261999999999999,0.005527,0.958,0.96
10975,0.00035000000000000005,0.00036700000000000003,0.000655,0.009661999999999999,0.0,1.0,0.915
10976,0.008286,0.007064,0.005584,0.007397,0.0089,0.957,0.879
10977,0.00945,0.009701999999999999,0.007687,0.008485,0.00902,0.917,0.756
10979,-9.99,-9.99,-9.99,-9.99,-9.99,1.0,10.99
10980,0.006812,0.004358,0.006614999999999999,0.008028,0.007105,0.971,0.9259999999999999
10983,0.002391,0.001714,0.003276,0.006879,0.0030480000000000004,0.993,0.941
10984,0.002305,0.0021160000000000003,0.002182,0.007932,0.002758,0.945,0.955
10985,0.001433,0.006828999999999999,0.000125,0.008958,0.001442,0.42899999999999994,0.19999999999999996
10986,0.002758,0.005717,0.002154,0.0061519999999999995,0.001704,0.968,0.895
10987,0.005447,0.004587,0.0029909999999999997,0.0070079999999999995,0.0064329999999999995,0.9299999999999999,0.952
10988,0.0022819999999999997,0.0017829999999999999,0.002912,0.006314999999999999,0.00314,0.977,0.91
10989,0.003509,0.003136,0.002211,0.0077859999999999995,0.004262,0.981,0.96
10990,0.004713,0.002575,0.004234,0.005566,0.006501,0.971,0.945
10992,0.0065710000000000005,0.003911,0.00759,0.008349,0.006251,0.982,0.917
10993,0.008045,0.008807,0.0045190000000000004,0.009346,0.005977,0.96,0.847
10994,0.004174,0.002076,0.008712,0.00822,0.002587,0.983,0.979
10996,0.0028039999999999996,0.001038,0.0038179999999999998,0.00747,0.004365,0.981,0.986
10998,0.001714,0.004771,0.001373,0.006777,0.000866,0.949,0.986
11001,0.00508,0.002764,0.006279,0.008654,0.004843,0.974,0.942
11003,0.006817999999999999,0.007053,0.005305,0.009628,0.004479,0.941,0.9319999999999999
11004,0.008468999999999999,0.005229,0.008279,0.009363,0.009077,0.981,0.933
11005,0.00125,0.00045900000000000004,0.0023480000000000003,0.001955,0.003407,1.0,0.839
11010,0.005487,0.003784,0.005425,0.007808000000000001,0.005345,0.957,0.927
11020,0.0044269999999999995,0.002001,0.004302,0.009115,0.005144999999999999,0.947,0.9390000000000001
11021,0.007064,0.002747,0.007937,0.00822,0.008376,0.975,0.938
11023,0.005384,0.0017369999999999998,0.008234,0.006541,0.00645,0.989,0.883
11024,0.007185,0.003377,0.008125,0.006603,0.008461999999999999,0.981,0.94
11030,0.0029010000000000004,0.000487,0.007110999999999999,0.007639,0.0039369999999999995,0.986,0.965
11040,0.005235,0.0028100000000000004,0.0052759999999999994,0.00902,0.005487,0.973,0.943
11042,-9.99,-9.99,-9.99,0.008095999999999999,-9.99,1.0,10.99
11050,0.005665,0.003045,0.006843,0.007300999999999999,0.006017,0.961,0.969
11096,0.009209,0.009581,0.008199,0.009256,0.007197,0.915,0.853
11101,0.008291,0.007179,0.002422,0.009172,0.009863,0.965,0.89
11102,0.008067999999999999,0.008234,0.002125,0.008844999999999999,0.008667000000000001,0.9390000000000001,0.919
11103,0.008159,0.008888,0.001379,0.008535000000000001,0.008695000000000001,0.897,0.9299999999999999
11104,0.007798,0.008468999999999999,0.001994,0.009025,0.007892,0.935,0.913
11105,0.008199999999999999,0.008555,0.00253,0.008242000000000001,0.008456,0.9279999999999999,0.92
11106,0.008882,0.009042,0.003368,0.008997,0.009311,0.9319999999999999,0.89
11109,0.003503,0.001565,0.001345,0.008665,0.006928999999999999,0.977,0.965
11201,0.006233,0.003372,0.0021479999999999997,0.008406,0.009299,0.974,0.944
11203,0.009386,0.008955999999999999,0.007885999999999999,0.009814,0.009595,0.941,0.88
11204,0.009553,0.009799,0.007772,0.008546,0.00914,0.929,0.84
11205,0.009427,0.009358,0.008074,0.008586,0.009493,0.965,0.833
11206,0.009679,0.009776,0.009208,0.009155,0.008855,0.941,0.813
11207,0.009839,0.009788,0.00914,0.009808,0.009812,0.94,0.8200000000000001
11208,0.009581,0.009472000000000001,0.008285,0.009904,0.009425,0.944,0.885
11209,0.008865,0.008028,0.007219,0.008203,0.00906,0.945,0.9
11210,0.009174,0.008354,0.008558,0.009285,0.009048,0.949,0.902
11211,0.009042,0.009318,0.003738,0.008254000000000001,0.009339,0.94,0.825
11212,0.009948,0.00992,0.009487,0.009865,0.00992,0.927,0.804
11213,0.009805000000000001,0.009817,0.008912,0.009437,0.009795,0.933,0.835
11214,0.009685000000000001,0.009805000000000001,0.008519,0.009008,0.009504,0.905,0.865
11215,0.005728,0.002557,0.002872,0.0077410000000000005,0.008643999999999999,0.973,0.961
11216,0.008297,0.008337,0.002678,0.009256,0.008581,0.94,0.891
11217,0.007231,0.005143,0.0033789999999999996,0.008625,0.008872,0.972,0.925
11218,0.009197,0.008876,0.006803,0.008631,0.009618,0.954,0.869
11219,0.00949,0.009828,0.006170999999999999,0.008258999999999999,0.009578,0.938,0.683
11220,0.009661999999999999,0.009885,0.007634999999999999,0.009594,0.009179,0.884,0.839
11221,0.009352000000000001,0.009599,0.004593,0.009521,0.009624,0.916,0.858
