zip_code,population_density,population_density_norm,bird_density,bird_density_norm,water_proximity,water_proximity_norm,healthcare_capacity,healthcare_capacity_norm,vulnerability_index,vulnerability_index_norm,risk_score,risk_category
11104,15613.419244626522,0.41055558186965635,2239.0,0.736270963498849,0.4774206883234281,0.4774206883234281,0.935,0.06218655967903708,0.007798,0.7798,0.550782588258314,High
11105,5008.478323609495,0.13169816938968923,2239.0,0.736270963498849,1.0,1.0,0.928,0.06920762286860582,0.0082,0.8200000000000001,0.562167238208765,High
10039,14878.651383756136,0.39123482695156986,2345.0,0.771127918447879,1.0,1.0,0.928,0.06920762286860582,0.009748,0.9748,0.6504770323262986,High
10128,31128.679459862306,0.8185300675171546,2345.0,0.771127918447879,1.0,1.0,0.953,0.0441323971915748,0.006783,0.6783,0.7399683198999918,High
10044,11468.78321688365,0.30157218564185473,2345.0,0.771127918447879,1.0,1.0,0.966,0.031093279839518595,0.008337,0.8337,0.6171949376959611,High
10065,19152.978402785073,0.5036284537993575,2345.0,0.771127918447879,1.0,1.0,0.986,0.011033099297893645,0.005321,0.5321,0.6506229866811742,High
10069,17295.028320244463,0.45477357036408705,2345.0,0.771127918447879,1.0,1.0,0.954,0.04312938816449352,0.007712,0.7712,0.6535738947090167,High
10075,31638.45397329454,0.8319346119481589,0.0,0.0,1.0,1.0,0.964,0.033099297893681046,0.005889,0.5889,0.39073858277640783,Medium
10280,18387.22153375149,0.4834928414769658,0.0,0.0,1.0,1.0,0.969,0.028084252758274864,0.002506,0.2506,0.2862116356450689,Medium
10282,20118.899945420028,0.5290274054808356,0.0,0.0,1.0,1.0,0.989,0.008024072216649913,0.003836,0.3836,0.30223925859187384,Medium
10301,2619.2843625121013,0.06887420357352805,1347.0,0.44294639921078593,1.0,1.0,0.948,0.049147442326980983,0.009329,0.9329000000000001,0.4181041747709338,Medium
11106,10796.321335775303,0.2838897693461021,2239.0,0.736270963498849,1.0,1.0,0.932,0.06519558676028081,0.008882,0.8881999999999999,0.6032239345870356,High
10302,3945.114105309891,0.10373695804044455,1347.0,0.44294639921078593,1.0,1.0,0.913,0.08425275827482448,0.009163,0.9162999999999999,0.42950039498244724,Medium
10303,2040.951721002456,0.05366691999079048,1347.0,0.44294639921078593,1.0,1.0,0.947,0.050150451354062264,0.009375,0.9375,0.4146326547779575,Medium
10304,2787.608831813293,0.07330030328648077,1347.0,0.44294639921078593,1.0,1.0,0.945,0.052156469408224715,0.009467,0.9467,0.42020160240729637,Medium
10451,10996.995681878781,0.2891665105672271,3041.0,1.0,1.0,1.0,0.934,0.06318956870611825,0.009897,0.9896999999999999,0.7280955845124186,High
10305,2432.7347234765907,0.06396887217866673,1347.0,0.44294639921078593,1.0,1.0,0.958,0.03911735205616851,0.008928,0.8928,0.41386983289513724,Medium
10306,1718.9231974456338,0.045199165055368584,1347.0,0.44294639921078593,1.0,1.0,0.957,0.04012036108324979,0.008739,0.8739,0.40833270701702074,Medium
10307,1740.2890496476898,0.04576098112816603,1347.0,0.44294639921078593,1.0,1.0,0.975,0.0220661985957874,0.003624,0.3624,0.381092744786474,Medium
10308,3193.0244791912046,0.08396072650323295,1347.0,0.44294639921078593,1.0,1.0,0.972,0.025075225677031132,0.003853,0.3853,0.392088583838365,Medium
10309,1119.01760670126,0.02942461977377176,1347.0,0.44294639921078593,1.0,1.0,0.984,0.013039117352056206,0.005642,0.5642,0.38619594632350224,Medium
10310,3367.1815474906252,0.08854019467686762,1347.0,0.44294639921078593,1.0,1.0,0.955,0.04212637913741224,0.008928,0.8928,0.4203135662278118,Medium
10312,1778.608027233611,0.04676858041778688,1347.0,0.44294639921078593,1.0,1.0,0.977,0.02006018054162484,0.005333,0.5333,0.3896890428034629,Medium
10314,1426.6119887158716,0.037512828289104364,1347.0,0.44294639921078593,1.0,1.0,0.966,0.031093279839518595,0.007861,0.7861,0.40111841470108167,Medium
10456,20273.832827570473,0.5331013727896883,3041.0,1.0,0.7814990197702755,0.7814990197702755,0.927,0.07021063189568699,0.009994,0.9994,0.757491259352532,Very High
10452,17302.17494963674,0.45496149131481434,3041.0,1.0,1.0,1.0,0.931,0.06619859578736198,0.009931,0.9931000000000001,0.7700152324074399,Very High
10453,19563.024464350092,0.5144106339715273,3041.0,1.0,1.0,1.0,0.903,0.09428284854563684,0.009983,0.9983000000000001,0.7879459433474456,Very High
10454,8506.6356821784,0.2236823790824605,3041.0,1.0,1.0,1.0,0.898,0.09929789368104314,0.01,1.0,0.7158503841387195,High
10455,13520.837033729924,0.35553103575683626,3041.0,1.0,0.7728591655858195,0.7728591655858195,0.905,0.0922768304914744,0.009971,0.9971000000000001,0.7138943168262295,High
10457,16116.13408664553,0.4237744919140182,3041.0,1.0,0.865663181585242,0.865663181585242,0.903,0.09428284854563684,0.009989,0.9988999999999999,0.7451663850708545,High
10458,17849.742197911655,0.46935979745814316,3041.0,1.0,0.9877153952536932,0.9877153952536932,0.903,0.09428284854563684,0.009891,0.9891,0.7743805435071536,Very High
10459,13787.920851002056,0.36255401709680557,3041.0,1.0,1.0,1.0,0.929,0.06820461384152454,0.009943,0.9943000000000001,0.747173965658354,High
10460,10528.41688153702,0.27684520931911605,3041.0,1.0,1.0,1.0,0.935,0.06218655967903708,0.009954,0.9954,0.7251999582976828,High
10461,5076.21206377579,0.13347923122313432,3041.0,1.0,1.0,1.0,0.945,0.052156469408224715,0.00969,0.9690000000000001,0.687035454746606,High
11004,2305.2420598609565,0.06061644668654762,2239.0,0.736270963498849,1.0,1.0,0.981,0.016048144433299938,0.008469,0.8469000000000001,0.540425859689449,High
11101,4157.706046233748,0.10932707296910324,2239.0,0.736270963498849,1.0,1.0,0.965,0.032096288866599876,0.008291,0.8291,0.5533183307034178,High
10462,12628.295397834532,0.3320616121202398,3041.0,1.0,1.0,1.0,0.936,0.0611835506519558,0.009708,0.9708,0.7376737580952556,High
10463,10029.148133472485,0.2637169144748259,3041.0,1.0,1.0,1.0,0.958,0.03911735205616851,0.009862,0.9861999999999999,0.7191509638243233,High
10464,308.56484625277994,0.008113726917403441,3041.0,1.0,1.0,1.0,0.938,0.05917753259779346,0.007219,0.7219,0.6440411849891302,High
10465,2985.1086051140624,0.07849356896878981,3041.0,1.0,1.0,1.0,0.967,0.030090270812437314,0.009444,0.9443999999999999,0.6698524193234412,High
10466,7690.128782377463,0.2022122923515395,3041.0,1.0,1.0,1.0,0.91,0.08726178535606821,0.009851,0.9851,0.7085342516234918,High
10467,9759.234291919545,0.25661951751537526,3041.0,1.0,1.0,1.0,0.911,0.08625877632898693,0.009925,0.9924999999999999,0.7224057570117426,High
10468,16086.821903006616,0.4230037266882086,3041.0,1.0,1.0,1.0,0.908,0.08926780341023066,0.009874,0.9874,0.7640477120130752,Very High
10469,6696.812779092319,0.17609300205902237,3041.0,1.0,0.72889188067503,0.72889188067503,0.952,0.04513540621865597,0.009507,0.9507,0.6554055732378756,High
10470,2550.960274519131,0.06707761851665005,3041.0,1.0,1.0,1.0,0.939,0.05817452357071218,0.009398,0.9398,0.6695768569862337,High
11102,10500.95673805485,0.2761231435749693,2239.0,0.736270963498849,1.0,1.0,0.939,0.05817452357071218,0.008068,0.8068000000000001,0.5965101718252956,High
11109,38029.976778110125,1.0,0.0,0.0,1.0,1.0,0.977,0.02006018054162484,0.003503,0.3503,0.41952101805416253,Medium
10471,2164.542086338463,0.056916734368987656,3041.0,1.0,1.0,1.0,0.964,0.033099297893681046,0.008308,0.8307999999999999,0.659079113381615,High
